iteration,fittest,mean fit,mean links,max links,tot pop
0,3.269,2.191,5.0,9,10
1,4.218,2.344,5.0,9,20
2,4.218,2.219,6.0,13,30
3,4.218,2.517,6.0,13,40
4,4.218,2.477,7.0,15,50
5,4.218,2.032,10.0,22,60
6,5.041,2.703,5.0,18,70
7,5.041,2.981,2.0,7,80
8,5.041,2.432,2.0,5,90
9,5.041,2.923,3.0,10,100
10,5.041,2.42,2.0,4,110
11,5.041,2.385,2.0,4,120
12,5.041,2.603,2.0,4,130
13,5.041,2.622,2.0,5,140
14,5.041,2.477,2.0,4,150
15,5.041,2.336,2.0,3,160
16,5.041,2.485,2.0,3,170
17,5.041,2.761,2.0,3,180
18,5.041,2.938,2.0,4,190
19,5.041,2.772,2.0,4,200
20,5.041,2.712,2.0,5,210
21,5.041,2.708,2.0,5,220
22,5.041,2.963,2.0,4,230
23,5.041,2.462,2.0,4,240
24,5.041,2.858,2.0,5,250
25,5.105,2.977,3.0,7,260
26,5.105,2.557,3.0,4,270
27,5.105,2.831,2.0,5,280
28,5.105,2.608,2.0,5,290
29,5.105,2.632,2.0,4,300
30,5.105,2.466,3.0,9,310
31,5.105,2.661,2.0,7,320
32,5.105,2.637,3.0,5,330
33,5.105,2.328,2.0,4,340
34,5.105,2.681,2.0,4,350
35,5.105,2.409,2.0,4,360
36,5.105,2.521,2.0,4,370
37,6.178,2.827,2.0,4,380
38,6.178,2.701,2.0,4,390
39,6.178,2.59,2.0,4,400
40,6.178,2.901,2.0,5,410
41,6.178,2.631,4.0,13,420
42,6.178,2.589,2.0,6,430
43,6.178,2.535,3.0,9,440
44,6.178,2.46,2.0,5,450
45,6.178,2.585,3.0,10,460
46,6.178,3.198,2.0,8,470
47,6.178,3.226,2.0,7,480
48,6.178,2.636,2.0,7,490
49,6.178,2.833,2.0,7,500
